Address,Segments,Content Type,Status Code,Status,Indexability,Indexability Status
https://www.ocdentalstudio.com/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/wp-content/uploads/elementor/google-fonts/fonts/mulish-1ptvg83hx_sghgqk3wot.woff2,,font/woff2,200,,Indexable,
https://ocdentalstudio.com/wp-content/uploads/elementor/google-fonts/fonts/roboto-kfo7cnqeu92fr1me7ksn66agldtyluama3yuba.woff2,,font/woff2,200,,Indexable,
https://ocdentalstudio.com/wp-content/uploads/elementor/google-fonts/fonts/mulish-1pttg83hx_sghgqk2jovaqq.woff2,,font/woff2,200,,Indexable,
https://ocdentalstudio.com/wp-content/uploads/2022/07/1414484653-1.mp4,,video/mp4,206,Aborted,Indexable,
https://ocdentalstudio.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2,,font/woff2,200,,Indexable,
https://ocdentalstudio.com/author/janellecomfort/,,text/html,200,,Indexable,
https://ocdentalstudio.com/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=3.3.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://ocdentalstudio.com/wp-content/themes/hello-elementor/style.min.css?ver=3.3.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://ocdentalstudio.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.3.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://ocdentalstudio.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.3.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://www.ocdentalstudio.com/restorative-dentistry/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/wp-content/plugins/make-column-clickable-elementor/assets/js/make-column-clickable.js?ver=1.4.0,Title - Empty,text/html; charset=UTF-8,404,Aborted,Non-Indexable,Client Error
https://www.ocdentalstudio.com/for-patients/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/dental-bonding/,,text/html,200,,Indexable,
https://ocdentalstudio.com/meet-dr-comfort/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/teeth-whitening/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://ocdentalstudio.com/reviews/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dental-crown/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dental-bridges/,,text/html,200,,Indexable,
https://ocdentalstudio.com/teeth-whitening/,,text/html,200,,Indexable,
https://ocdentalstudio.com/preventive-dentistry/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/dental-bonding/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://ocdentalstudio.com/tooth-colored-fillings/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/orthodontics/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/dental-implants/,,text/html,200,,Indexable,
https://ocdentalstudio.com/blog/,,text/html,200,,Indexable,
https://ocdentalstudio.com/porcelain-veneers/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/about-us/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/dental-bridges/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/dental-crown/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/childrens-dentistry/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/about-us/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/meet-dr-comfort/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/privacy-policy/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/dentures/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/restorative-dentistry/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/missing-teeth/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/root-canal-therapy/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/dental-implants/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/meet-our-dental-specialists/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/cosmetic-dentistry/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/transform-your-smile-with-dental-crowns-in-santa-ana-how-the-process-works-and-what-to-expect/,,text/html,200,,Indexable,
https://ocdentalstudio.com/contact/,,text/html,200,,Indexable,
https://ocdentalstudio.com/reasons-to-have-regular-checkups-with-your-dentist-in-santa-ana-ca/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dentures/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dental-technology/,,text/html,200,,Indexable,
https://ocdentalstudio.com/our-services/,,text/html,200,,Indexable,
https://ocdentalstudio.com/about-us/meet-our-associates/,,text/html,200,,Indexable,
https://ocdentalstudio.com/for-patients/,,text/html,200,,Indexable,
https://ocdentalstudio.com/childrens-dentistry/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/tooth-extraction/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/missing-teeth/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/meet-dr-morgan/,,text/html,200,,Non-Indexable,noindex
https://ocdentalstudio.com/cosmetic-dentistry/,,text/html,200,,Indexable,
https://ocdentalstudio.com/faq/,,text/html,200,,Indexable,
https://ocdentalstudio.com/in-house-dental-plan/,,text/html,200,,Indexable,
https://ocdentalstudio.com/invisalign/,,text/html,200,,Indexable,
https://ocdentalstudio.com/how-to-determine-if-youre-a-candidate-for-dental-implants-in-santa-ana/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dental-insurance/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/porcelain-veneers/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/emergency-dentistry/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/root-canal-therapy/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/tooth-extraction/,,text/html,200,,Indexable,
https://ocdentalstudio.com/orthodontics/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/invisalign/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://www.ocdentalstudio.com/emergency-dentistry/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/sitemap/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/contact/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/preventive-dentistry/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/,,text/html,200,,Indexable,
https://www.ocdentalstudio.com/in-house-dental-plan/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/emergency-dentistry,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/reviews/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/meet-dr-morgan/,,text/html,200,,Non-Indexable,noindex
https://www.ocdentalstudio.com/dental-bonding/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/invisalign/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/our-services,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/dentol-bonding/,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://www.ocdentalstudio.com/blog/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/dentol-bonding/,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://www.ocdentalstudio.com/about-us,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/childrens-dentistry/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://www.ocdentalstudio.com/teeth-whitening/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/childrens-dentistry/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://www.ocdentalstudio.com/dental-technology/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/dental-insurance/,,text/html,200,,Non-Indexable,Canonicalised
https://www.ocdentalstudio.com/tooth-colored-fillings/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/invisalign/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://www.ocdentalstudio.com/our-services/,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/the-importance-of-regular-dental-check-up-in-santa-ana/,,text/html,200,,Indexable,
https://ocdentalstudio.com/how-do-dentures-work-everything-you-need-to-know/,,text/html,200,,Indexable,
https://ocdentalstudio.com/teeth-whitening/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://ocdentalstudio.com/dental-bonding/%20,Title - Empty,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected
https://ocdentalstudio.com/author/janellecomfort/page/2/,,text/html,200,,Indexable,
https://ocdentalstudio.com/how-invisalign-works-to-straighten-your-teeth/,,text/html,200,,Indexable,
https://ocdentalstudio.com/smile-with-confidence-the-benefits-of-dental-crowns/,,text/html,200,,Indexable,
https://ocdentalstudio.com/5-ways-to-care-for-your-dentures/,,text/html,200,,Indexable,
https://ocdentalstudio.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff,,font/woff,200,,Indexable,
https://ocdentalstudio.com/sitemap/,,text/html,200,,Indexable,
https://ocdentalstudio.com/understanding-root-canal-therapy-a-guide-for-patients-in-santa-ana/,,text/html,200,,Indexable,
https://ocdentalstudio.com/how-invisalign-can-make-the-invisible-fix-to-your-smile/,,text/html,200,,Indexable,
https://ocdentalstudio.com/privacy-policy/,,text/html,200,,Indexable,
https://ocdentalstudio.com/how-do-you-maintain-dental-implants/,,text/html,200,,Indexable,
https://ocdentalstudio.com/emergency-dentistry,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/our-services,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/about-us,,text/html,200,,Non-Indexable,Canonicalised
https://ocdentalstudio.com/get-natural-impression-to-damaged-teeth-with-tooth-colored-fillings/,,text/html,200,,Indexable,
https://ocdentalstudio.com/dentures-or-full-arch-dental-implants-what-should-i-get/,,text/html,200,,Indexable,
https://ocdentalstudio.com/potential-side-effects-of-dental-implant-surgery/,,text/html,200,,Indexable,
https://ocdentalstudio.com/are-composite-fillings-better-than-silver-metal-fillings/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/dentures/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/composite-fillings-in-santa-ana/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/tooth-colored-fillings-in-santa-ana-ca/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/tooth-colored-fillings-in-santa-ana/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/tooth-colored-fillings/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/white-fillings/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/dental-implants-santa-ana-ca/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/dentists-in-santa-ana/,,text/html,200,,Indexable,
https://ocdentalstudio.com/tag/santa-ana-dental-implant-specialists/,,text/html,200,,Indexable,
